MIAC Championships,Grant Wintheiser,St. Olaf,25:08.1,1,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Micheale Tesema,Augsburg,25:29.6,2,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Berens,Bethel,25:32.8,3,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Haskins,Bethel,25:37.7,4,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Brendan Ruter,Hamline,25:38.5,5,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Nate Dobbins,Hamline,25:40.1,6,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Keaton Wendroth,St. Thomas,25:49.1,7,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Saksa,St. Olaf,25:50.9,8,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Scherber,Saint John's,25:51.9,9,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,John Subialka,Saint John's,25:58.8,10,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ethan Armbruster,St. Thomas,26:02.2,11,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jake Campbell,St. Olaf,26:02.9,12,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Aaron Haley,Saint Mary's,26:03.8,13,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Tim Lillehaugen,St. Olaf,26:10.4,14,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Marcus Huderle,Carleton,26:11.5,15,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Bobby Davis,Carleton,26:12.4,16,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jake Traxler,Saint Mary's,26:18.2,17,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Peter Borash,Saint Mary's,26:21.0,18,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Calvin Lehn,St. Olaf,26:21.8,19,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Cj Seifert,St. Thomas,26:22.4,20,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Guthrie Cunningham,Carleton,26:23.4,21,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Schafer,Bethel,26:24.2,22,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Brad McConn,Concordia-Moorhead,26:24.8,23,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas Feichtinger,Saint John's,26:25.1,24,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Massey,St. Olaf,26:28.5,25,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Nathan Rock,Hamline,26:30.9,26,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Robby Williams,St. Thomas,26:36.4,27,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Tanner Sakrismo,Concordia-Moorhead,26:36.6,28,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Willie Versen,Saint John's,26:38.7,29,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Stefan Lemke,St. Olaf,26:39.2,30,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Dillon Davis,St. Olaf,26:39.9,31,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Nate Engel,Saint John's,26:40.6,32,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ben Rascher,St. Thomas,26:45.6,33,2012,"Como Park Golf Course, St. Paul"
