1,"WILKINSON, Matthew",JR,55,Carleton,1,24:37.4,---,4:57.3,3:04.7,3:05.1,7:24.5,13:45.3,21:34.9
2,"MUELLER, Lucas",JR,44,Carleton,2,24:59.0,0:22.0,5:01.6,3:07.4,3:06.2,7:31.2,14:02.6,21:57.9
3,"WACHTER, Karl",SR,243,St. Thomas (Minn.),3,25:05.4,0:28.4,5:02.9,3:08.2,3:05.3,7:25.8,13:59.2,22:02.4
4,"BENITEZ, Fernando",SR,108,Hamline,4,25:07.7,0:30.7,5:03.4,3:08.5,3:06.5,7:28.2,13:59.4,22:01.6
5,"GUSTAFSON, Frank",JR,112,Hamline,5,25:12.1,0:35.1,5:04.2,3:09.0,3:06.3,7:28.2,13:59.2,22:07.2
6,"LONERGAN, Sean",SR,197,St. Olaf,6,25:18.5,0:41.5,5:05.5,3:09.8,3:05.6,7:28.1,13:59.2,22:04.5
7,"PRIMOZICH, Sam",JR,207,St. Olaf,7,25:19.6,0:42.6,5:05.8,3:09.9,3:05.6,7:27.8,13:59.1,22:07.9
8,"MEIKLE, Cameron",SR,43,Carleton,8,25:19.7,0:42.7,5:05.8,3:10.0,3:07.7,7:33.9,14:12.1,22:17.2
9,"MCGIVERN, George",SR,230,St. Thomas (Minn.),9,25:30.4,0:53.4,5:07.9,3:11.3,3:05.9,7:28.2,13:59.2,22:15.6
10,"LELINGA, Ezekiel",JR,18,Bethel (Minn.),10,25:33.1,0:56.1,5:08.5,3:11.6,3:06.3,7:28.3,13:58.9,22:15.8
11,"KADROFSKE, Elliot",SR,192,St. Olaf,11,25:37.3,1:00.3,5:09.3,3:12.2,3:10.1,7:34.5,14:13.1,22:30.2
12,"GRANT, Garet",SO,85,Gustavus Adolphus,12,25:44.7,1:07.7,5:10.8,3:13.1,3:06.4,7:34.6,14:16.1,22:34.8
13,"WIEL, Biel",SO,245,St. Thomas (Minn.),13,25:47.1,1:10.1,5:11.3,3:13.4,3:06.5,7:28.6,13:59.9,22:29.4
14,"STUMBO, Andrew",JR,104,Gustavus Adolphus,14,25:53.7,1:16.7,5:12.6,3:14.2,3:06.1,7:34.2,14:17.6,22:46.2
15,"MENDEL, Ike",SO,19,Bethel (Minn.),15,25:56.7,1:19.7,5:13.2,3:14.6,3:09.5,7:38.6,14:22.6,22:42.5
16,"HAIRE, Zach",FR,223,St. Thomas (Minn.),16,26:00.0,1:23.0,5:13.9,3:15.0,3:09.6,7:39.3,14:26.1,22:42.5
17,"COLLINS, Tremayne",SR,154,St. John's (Minn.),17,26:02.4,1:25.4,5:14.4,3:15.3,3:09.7,7:38.6,14:20.8,22:44.2
18,"ELLEFSON-CARNES, Arne",FR,182,St. Olaf,18,26:03.1,1:26.1,5:14.5,3:15.4,3:09.8,7:34.7,14:15.0,22:43.8
19,"LAVEY, Stephen",SO,42,Carleton,19,26:04.8,1:27.8,5:14.8,3:15.6,3:09.6,7:38.2,14:25.6,22:45.0
20,"SANTOS, Ben",SO,49,Carleton,20,26:07.5,1:30.5,5:15.4,3:15.9,3:11.8,7:43.8,14:34.2,22:56.9
21,"JOHNSON, Noah",SO,88,Gustavus Adolphus,21,26:10.4,1:33.4,5:16.0,3:16.3,3:16.9,7:55.0,14:45.9,23:09.5
22,"KARRICK, Macallister",SO,226,St. Thomas (Minn.),22,26:10.7,1:33.7,5:16.0,3:16.3,3:08.4,7:35.6,14:16.5,22:49.2
23,"SATHER, Zak",FR,50,Carleton,(23),26:11.1,1:34.1,5:16.1,3:16.4,3:10.3,7:38.4,14:30.7,22:57.0
24,"WICKLUND, Eric",SR,75,Concordia-Moorhea,24,26:12.0,1:35.0,5:16.3,3:16.5,3:13.8,7:43.5,14:31.5,23:02.3
25,"NEMANICH, Thomas",FR,169,St. John's (Minn.),25,26:14.2,1:37.2,5:16.7,3:16.8,3:10.2,7:38.9,14:28.5,23:05.4
26,"WEBB, Noah",JR,174,St. John's (Minn.),26,26:15.7,1:38.7,5:17.0,3:17.0,3:10.9,7:43.0,23:06.4,26:15.5
27,"LYFORD, Derk",FR,198,St. Olaf,27,26:17.2,1:40.2,5:17.3,3:17.1,3:09.6,7:39.6,14:36.2,23:04.6
28,"BOWMAN, Henry",FR,30,Carleton,(28),26:18.1,1:41.1,5:17.5,3:17.3,3:10.4,7:40.8,14:33.6,23:01.5
29,"WICKLUND, Ben",SO,106,Gustavus Adolphus,29,26:19.7,1:42.7,5:17.8,3:17.5,3:10.0,7:39.5,14:27.9,23:02.7
30,"KOSCHE, Reuben",SO,193,St. Olaf,(30),26:22.7,1:45.7,5:18.4,3:17.8,3:09.4,7:38.2,14:30.6,23:12.3
"Northfield, MN",,,Timing:,,,
Carleton College,,,"Wayzata Results, Inc",,,
"Saturday, November 2, 2019",,,,,,
"",,,,,,OFFICIAL MEET REPORT
"",,,,,,printed: 11/2/2019 11:43 AM
Race #2,,,,,,
MEN • 8 Kilometers (4.97 Miles),,,,,,Final Results
TEAM SCORING SUMMARY,,,,,,
Final Standings Score,Scoring Order,,Total Avg.,,,
1 Carleton 50,1-2-8-19-20(23)(28),,2:07:09 25:26,,,
2 St. Thomas (Minn.) 63,3-9-13-16-22(31)(37),,2:08:34 25:43,,,
3 St. Olaf 69,6-7-11-18-27(30)(32),,2:08:36 25:44,,,
4 Gustavus Adolphus 109,12-14-21-29-33(36)(40),,2:10:40 26:08,,,
5 Hamline 140,4-5-42-44-45(55)(64),,2:11:21 26:17,,,
6 St. John's (Minn.) 143,17-25-26-34-41(49)(51),,2:12:02 26:25,,,
7 Bethel (Minn.) 177,10-15-46-50-56(61)(62),,2:12:58 26:36,,,
8 Concordia-Moorhead 206,24-38-43-48-53(54)(58),,2:14:11 26:51,,,
9 Macalester 251,35-47-52-57-60(63)(67),,2:15:37 27:08,,,
